machine_id,os_type,duree_connexion,nombre_requetes,volume_donnees,statut_connexion
M1381,Linux,124.8417128228712,80,464.2093000955391,success
M996,Linux,203.3992427226081,212,696.5908744299338,success
M1411,MacOS,71.0995026862237,213,430.46209900987606,success
M1448,Windows,150.11807917682245,216,341.4917270387713,fail
M1448,Android,182.8370345969048,79,259.87376829481747,success
M167,Android,143.47998244995398,224,289.311324589568,success
M127,Windows,113.24245193193217,198,312.9535574823745,fail
M1247,Android,110.82015994819216,168,679.2860730798614,success
M1338,Windows,145.6613086503058,234,424.5172344209975,success
M162,MacOS,156.6101952662626,258,601.2618172886779,fail
M1279,Windows,162.46896358223358,280,492.6084171444241,success
M1005,MacOS,165.25916798195678,116,694.7183574594776,fail
M275,Android,160.6692250898414,90,576.8091421922279,fail
M398,Windows,147.5158849606701,168,464.76063067894336,fail
M1127,Android,174.38769821485647,198,514.1090316715156,fail
M346,Linux,120.77569230733022,181,714.2885338552924,success
M1470,Linux,96.67817757175146,139,452.8366083342265,fail
M1047,Linux,77.87823441714164,138,602.0253386775805,success
M1377,Linux,88.95111888272896,142,356.11271221368827,fail
M200,Linux,103.0094152872334,241,497.1549194747965,success
M293,Android,81.9039163758711,260,502.6386324111241,fail
M1199,Windows,65.91182204163624,213,519.1819120259672,fail
M1250,Linux,137.81277543905247,152,564.9375440100988,fail
M1171,Android,129.17317766009091,145,197.20377787546693,fail
M1408,MacOS,120.77569230733022,215,476.3341419426327,success
M835,Windows,157.9608117182651,169,353.96581739331475,fail
M808,Android,120.77569230733022,70,617.6885895901727,fail
M577,Windows,105.66537243013263,180,516.8440732885185,fail
M1450,MacOS,109.97088311587352,287,488.9030621763088,fail
M1349,Windows,145.236299517676,255,459.4824991961339,fail
M1023,MacOS,166.13863314449074,87,850.8917713359908,fail
M686,Windows,120.77569230733022,128,341.8532996308494,success
M96,Linux,185.7969151255415,139,583.8435088278421,fail
M934,Android,120.77569230733022,146,345.2151279582046,fail
M405,Android,75.53227560945031,216,395.99988447124673,fail
M652,Windows,183.01729576759817,158,403.2777926033304,fail
M1494,Windows,153.4532972413038,213,527.1768788121058,success
M1242,MacOS,83.4017162777051,247,370.5857709469713,fail
M918,MacOS,107.13018434467502,284,836.585712322831,success
M21,Android,92.6712890188666,239,469.2962831624941,success
M321,Windows,104.552509363619,274,574.5051985304904,fail
M663,MacOS,81.78456200626427,184,619.5213237464717,success
M432,Linux,59.09252825878481,206,544.5293408811226,fail
M313,Android,96.10363774428916,257,534.5475102104359,success
M807,Android,144.58343134073058,202,254.98039886530373,success
M1131,Linux,145.02161682106865,193,242.217941287036,fail
M1499,Linux,97.51513702231703,145,293.98747332089107,fail
M733,Windows,131.1941970616513,157,502.6386324111241,fail
M1170,Linux,151.03803682530562,199,556.8568014200015,success
M784,Android,74.81126942851874,119,502.6386324111241,fail
M917,Linux,123.5371568312512,245,577.8641444150926,success
M1053,Windows,113.27677888783752,243,569.4834957796081,success
M1492,Linux,126.65039717746345,282,691.7295979486126,fail
M359,Linux,141.80708919289413,264,325.67573366533367,fail
M656,Android,68.59213805261854,213,552.6003413982731,fail
M827,Windows,87.46046843791262,175,584.2139593520786,fail
M364,Linux,112.20126866854868,249,207.75076589900908,success
M41,Windows,142.4979131176109,232,387.9009722072505,fail
M383,MacOS,146.34776490720589,191,589.9575799152327,success
M1296,Linux,45.4541568659979,144,594.5167409215408,fail
M1415,Windows,138.42097717470614,218,381.853710221785,fail
M1427,Android,120.77569230733022,163,648.8424891979183,success
M411,Linux,157.1885272449353,147,301.05812003993697,success
M917,Linux,144.5474430192735,252,502.6386324111241,success
M802,Linux,151.92524786365357,143,502.6386324111241,success
M626,MacOS,199.3068817559347,189,237.03105159799048,fail
M1122,Linux,110.2872601498579,242,519.5658169006161,success
M1105,Windows,95.8768375240834,234,505.8314727138196,success
M489,Linux,118.11099050489194,235,238.0097968162536,success
M865,Windows,78.70524109962854,161,504.6030638719104,success
M391,Linux,120.77569230733022,248,291.4330436605694,success
M920,Windows,120.77569230733022,203,552.7982056747604,fail
M1421,Android,188.7173784146792,239,327.1886799217555,fail
M920,Windows,165.18293093270023,98,688.5383362760804,success
M254,Windows,126.22818985965029,192,649.9693990647519,fail
M1140,Linux,124.26653898570235,148,597.66100137683,success
M1345,Linux,53.759805929956855,227,583.6006699165912,fail
M187,Linux,94.96007668936385,169,307.43146708863617,fail
M764,MacOS,120.77569230733022,172,388.0467088680084,success
M726,Android,120.77569230733022,200,655.8968287375687,success
M1422,Windows,124.09483728801592,89,433.819330093287,success
M127,Linux,112.35067354436984,116,502.6386324111241,fail
M291,Linux,112.39139623419972,276,535.7983954467657,fail
M191,Windows,35.278917390768214,209,562.187149199185,success
M114,Windows,92.81358072529254,216,271.7258435869095,success
M706,Linux,74.58478583785984,326,470.083149527377,fail
M1035,MacOS,78.60258636355091,185,398.4186022020526,fail
M1229,MacOS,64.51572383033104,211,420.103537173728,fail
M704,MacOS,115.52837122933158,279,368.6616453226899,success
M1464,Android,120.77569230733022,185,545.2087036115083,success
M717,Android,175.7079511986623,226,648.2370153461509,success
M943,Linux,89.55460990077674,187,520.5290224654835,fail
M554,Android,155.21527697550968,193,539.3001617380608,fail
M767,Linux,81.60548227021684,336,407.1478826991207,fail
M800,Android,133.77650803214826,161,381.3367226870938,success
M1368,Android,33.20787670218084,155,575.5639447084104,success
M1126,Windows,135.59431194729274,229,274.62788557888354,fail
M542,Android,84.37047319283207,170,170.54325589647368,fail
M1090,Windows,208.09040851752536,197,354.74557952785767,success
M208,Linux,120.77569230733022,121,854.4409322484364,fail
M1156,MacOS,148.44668694604002,211,319.12536716547675,fail
M210,Android,120.6395038054934,226,730.1458479833861,success
M527,MacOS,158.96516055133532,213,449.4222657753225,fail
M8,Android,104.66857967048009,167,312.7608997747167,success
M17,Linux,145.5442842565663,235,414.5607774431325,success
M254,Android,96.86252133325507,112,660.0380717536074,success
M1282,MacOS,120.77569230733022,238,193.58374079118929,fail
M380,Windows,169.36243506517707,297,578.9050282821868,fail
M433,Android,156.03350566696278,276,427.68453276054464,success
M840,Android,106.54514196966264,207,373.9298234235088,success
M1193,Linux,72.79128949791331,220,365.0621300744394,success
M897,Windows,160.9583212353145,188,487.49704346462806,success
M571,Windows,77.13739048629526,198,689.4240545601781,fail
M367,Linux,109.40143943356316,280,324.37500715284085,fail
M693,Linux,157.4356979173628,195,561.3359923038095,fail
M380,Linux,139.6971542228434,282,310.717563612325,success
M1398,MacOS,98.4691728536204,147,700.3284025578982,success
M220,Windows,98.51042532542284,257,502.6386324111241,fail
M4,Windows,108.98858062068184,183,401.9159384879312,fail
M149,Windows,130.96937684033787,192,567.9578526729647,success
M121,Windows,112.86712489466788,153,574.0287790962802,success
M373,Android,120.77569230733022,229,502.6386324111241,success
M105,MacOS,148.62336868735164,101,609.675144084215,fail
M1251,Windows,89.84364300118916,285,578.2435396897744,fail
M1215,Android,25.583711640591503,172,453.991140823846,success
M105,Linux,152.31094508463943,236,349.9019547005188,success
M817,Android,120.77569230733022,259,339.7390858748976,success
M1430,Linux,171.82558548280684,201,512.0387494988963,success
M1453,Linux,127.81342815613992,278,502.6386324111241,success
M798,Windows,109.2435171057858,195,502.6386324111241,fail
M320,Windows,117.97727501890591,160,676.268153176145,success
M682,Android,127.929840532907,150,655.2631433098845,fail
M134,Windows,188.25217432974085,159,607.4181789441599,success
M37,MacOS,95.74862029592737,180,429.6141113412662,success
M817,MacOS,93.16895418471884,246,607.3677911900073,fail
M927,MacOS,144.90780377102965,115,568.5800964581153,fail
M362,Linux,129.55724690583008,219,353.0962414507008,fail
M252,Android,87.77417100838181,239,461.2880929515512,fail
M1403,Windows,79.20865848399372,136,402.9144547230813,fail
M921,MacOS,114.395500011276,157,376.8088327128471,success
M1090,Linux,23.84809525837012,134,380.95373322091456,fail
M222,Windows,133.12655817199632,179,119.11053171928864,fail
M491,Linux,152.11841162936486,270,398.8759833625308,fail
M1199,Android,55.22168721423874,271,204.0184640750541,success
M164,Android,160.0504594475998,227,732.4113504055535,success
M911,Windows,153.88859091103134,193,343.6051300382902,fail
M1251,MacOS,177.686714503855,237,620.1805893204556,success
M762,Linux,86.97057818596947,189,534.107664959774,success
M1093,Linux,108.90509836059634,146,870.8328758262942,fail
M243,Windows,136.69551108558724,197,447.2151815825695,fail
M80,Android,122.55231374962236,194,776.1845204224051,fail
M956,Windows,149.61213521729684,227,502.6386324111241,fail
M95,Windows,120.77569230733022,147,699.4697464598522,fail
M828,Windows,134.2997427276958,120,646.0341352441507,fail
M1166,Windows,96.70229450758558,171,364.4241949534422,success
M873,Android,74.72227373509511,103,502.6386324111241,success
M645,Windows,143.6351479562685,113,412.2937213909913,fail
M1440,Linux,142.61843568617562,190,418.8236563290132,fail
M828,Android,120.77569230733022,234,463.4457234283112,fail
M711,Windows,107.30840418350952,300,457.3082614215394,success
M1099,Windows,118.20163696591062,279,396.0479008564463,success
M8,Linux,109.50872215657331,224,347.925148296961,fail
M10,Android,105.8851085808381,201,532.3294814393279,fail
M428,Windows,78.79762928922432,246,823.483303513993,fail
M1446,Linux,85.1426261788281,242,388.6005765078576,fail
M45,MacOS,181.44291650330428,167,384.83097949435336,success
M1292,Linux,106.97452376902056,143,878.3130576824572,success
M708,Linux,136.03767432375702,219,502.6386324111241,success
M288,Linux,75.08086088343231,162,736.9237213706148,success
M605,Windows,85.76771316290026,192,378.7533001850721,fail
M429,Linux,147.73129423031898,189,733.3553587929584,success
M12,Linux,121.56938669753984,234,387.1632248530268,success
M450,Linux,90.25943614362409,204,208.37981806104267,success
M1293,Linux,85.75059025852863,115,502.6386324111241,success
M849,Linux,122.77791633308658,189,300.3941538392137,success
M80,Linux,155.735129843449,114,623.7434665946361,fail
M957,Linux,63.91309668817777,277,404.6478746539859,success
M373,Android,182.20540529472743,141,720.2010268224151,success
M1174,Linux,65.75765914225794,51,630.6831151967067,fail
M998,Android,88.2747129848368,160,221.1747148394353,fail
M305,Android,92.77667437914774,158,502.6386324111241,fail
M243,Windows,91.85948666020596,284,401.2921766444605,fail
M867,Linux,99.55923220545392,174,410.3257119343423,fail
M662,Linux,85.56950573387506,261,571.0240686963249,success
M216,Android,162.07015669960683,215,496.5291014639232,success
M650,Linux,169.08636003876643,233,595.3049755992357,success
M852,Linux,135.55036353463962,122,516.0987634948924,success
M261,Windows,152.58211648808347,221,345.2599242690867,success
M460,Windows,162.59498848944688,336,307.9893994264282,success
M277,Linux,157.21597394684753,316,293.0781934889782,success
M1299,MacOS,72.7254682169444,145,502.7847333327124,fail
M1010,Android,143.93465375171436,228,211.5496234287945,success
M1344,Windows,191.6475639361189,264,567.2119448943013,success
M407,Linux,143.6192267224019,244,470.5463028473989,fail
M1105,Windows,120.77569230733022,223,600.2982610994723,success
M290,MacOS,99.2272581851472,259,541.2241158431698,fail
M1337,Windows,91.82849802992938,185,357.44177561778315,success
M196,Android,58.96278077903776,272,498.3011964086505,success
M229,Android,130.00995289939797,126,611.0399813534159,fail
M625,Windows,43.81579053724799,317,331.8361966808463,success
M1253,MacOS,168.8272551962295,127,355.2234620102745,fail
M1213,Linux,102.27141309151604,238,622.1835797562171,success
M1388,MacOS,208.8713453463643,222,332.1556190711078,fail
M1379,MacOS,175.6728318141937,103,634.6211761731903,fail
M1459,Android,120.77569230733022,225,498.8092102220388,success
M640,Android,115.27124142019504,233,696.7368311025336,fail
M118,Windows,109.90547736606972,98,437.1981503212409,success
M1499,Linux,197.13099072685733,262,494.9151737890486,fail
M157,MacOS,100.26624628024118,208,238.17186432336587,success
M1039,Windows,86.4862798117043,203,508.1282732892645,fail
M928,Android,136.9826600273179,238,285.9810202620725,success
M159,Android,107.94991932668026,177,412.455603743618,fail
M81,Linux,153.41592824874448,55,498.12114681748426,fail
M931,Android,60.853061915251104,156,489.3991552654151,success
M1088,Android,179.5549402980679,151,355.1338571730043,fail
M1493,Windows,144.2936463423663,115,580.5815944883825,fail
M637,Linux,121.61525195502657,208,759.2881890014257,fail
M329,MacOS,134.35762858222594,205,272.66159637990575,success
M1072,Linux,100.68477261183568,147,535.8943129544759,success
M701,Windows,120.77569230733022,188,459.6550789709389,success
M75,Windows,120.77569230733022,186,593.1059421484767,success
M558,Windows,136.0722057812341,204,613.4266437247852,fail
